"ASV","s.low","s.high","index","stat","p.value","A_g1","A_g2","A_g12","B_g1","B_g2","B_g12","Taxon","Confidence"
"fbec87d7bf859499f691cf9c80964b3d",0,1,2,0.45133546692422,0.001,0,1,1,0,0.203703703703704,0.0572916666666667,"d__Bacteria; p__Cyanobacteria; c__Vampirivibrionia; o__Obscuribacterales; f__Obscuribacteraceae; g__Obscuribacteraceae; s__uncultured_bacterium","0.9760361"
"1e26dd0847a1b48e4f8be87b873f9d17",1,0,1,0.361157559257308,0.009,1,0,1,0.130434782608696,0,0.09375,"d__Bacteria; p__Cyanobacteria; c__Vampirivibrionia; o__Obscuribacterales; f__Obscuribacteraceae; g__Obscuribacteraceae; s__uncultured_bacterium","0.9297204"
"53317c219818ad07eb8e937904d74c12",0,1,2,0.526419747872739,0.001,0.00237609657856591,0.997623903421434,1,0.0072463768115942,0.277777777777778,0.0833333333333333,"d__Bacteria; p__Cyanobacteria; c__Vampirivibrionia; o__Obscuribacterales; f__Obscuribacteraceae; g__Obscuribacteraceae; s__uncultured_bacterium","0.8491173"
"b9dd68d82f52fbe6e86aa553d7392818",0,1,2,0.535512701569649,0.001,0.0321382442943173,0.967861755705683,1,0.0072463768115942,0.296296296296296,0.0885416666666667,"d__Bacteria; p__Cyanobacteria; c__Vampirivibrionia; o__Obscuribacterales; f__Obscuribacteraceae; g__Obscuribacteraceae; s__uncultured_bacterium","0.9455114"
"8a567d1340a48033ee1517c22f61863f",0,1,2,0.607918081126219,0.001,0.00217613792750332,0.997823862072497,1,0.0072463768115942,0.37037037037037,0.109375,"d__Bacteria; p__Actinobacteriota","0.7637629"
"8b6d60d68db173537378015c57357c9e",1,0,1,0.467325509427451,0.003,0.913280369184985,0.0867196308150151,1,0.239130434782609,0.0555555555555556,0.1875,"d__Bacteria; p__Actinobacteriota; c__Thermoleophilia; o__Gaiellales; f__uncultured; g__uncultured","0.8817331"
"5b71b17385b277ea3b2859879682e9a6",1,0,1,0.403571002464828,0.018,0.899039938248173,0.100960061751827,1,0.181159420289855,0.037037037037037,0.140625,"d__Bacteria; p__Actinobacteriota; c__Thermoleophilia; o__Gaiellales; f__uncultured; g__uncultured; s__Gaiella_sp.","0.8657238"
"41479259f7a2ca643edd756c2e265e7d",1,0,1,0.37125263415212,0.025,0.951016776717725,0.0489832232822744,1,0.144927536231884,0.037037037037037,0.114583333333333,"d__Bacteria; p__WOR-1; c__WOR-1; o__WOR-1; f__WOR-1; g__WOR-1; s__candidate_division","0.9257355"
"f5b320d5467a29c762588cb1d9c71a2d",0,1,2,0.319634820947997,0.009,0.0805022311378743,0.919497768862126,1,0.0289855072463768,0.111111111111111,0.0520833333333333,"d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Frankiales","0.8473678"
"753920d3f1ad6189236ce8943e8621e0",0,1,2,0.357827923713902,0.015,0.231755062063586,0.768244937936414,1,0.072463768115942,0.166666666666667,0.0989583333333333,"d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Frankiales; f__Nakamurellaceae; g__Nakamurella","0.9659076"
"31ba3f0b2463eec6465582f8bc24a9db",0,1,2,0.652630006915041,0.001,0,1,1,0,0.425925925925926,0.119791666666667,"d__Bacteria; p__Actinobacteriota; c__Actinobacteria","0.9982428"
"a46dae7ef70ef8adce481cf6bf56ca2e",1,0,1,0.355721120117526,0.021,0.970120950615451,0.0298790493845495,1,0.130434782608696,0.0185185185185185,0.0989583333333333,"d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Frankiales; f__Sporichthyaceae; g__uncultured; s__uncultured_bacterium","0.7177400"
"c9e4337e5fd5712e3c5082bbdc0c0589",1,0,1,0.41702882811415,0.005,1,0,1,0.173913043478261,0,0.125,"d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Micrococcales; f__Promicromonosporaceae; g__Promicromonospora","0.9051497"
"c6c4d9630264835e3e56584ece6ecf2c",1,0,1,0.380693493813441,0.012,1,0,1,0.144927536231884,0,0.104166666666667,"d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Micrococcales; f__Promicromonosporaceae; g__Cellulosimicrobium","0.8084548"
"942fbcb79887d1ebd965d2732b26799d",0,1,2,0.48920627637995,0.001,0.00588998724038737,0.994110012759613,1,0.0072463768115942,0.240740740740741,0.0729166666666667,"d__Bacteria; p__Actinobacteriota; c__Actinobacteria","0.9964104"
"9baca746798b2d64d9844a9786e3254d",1,0,1,0.561125184727711,0.001,0.987520074207447,0.0124799257925527,1,0.318840579710145,0.037037037037037,0.239583333333333,"d__Bacteria; p__Actinobacteriota; c__Actinobacteria","0.9934418"
"a50dd45efbba0aa6ad30b77d00c51b7b",1,0,1,0.505632008147901,0.001,0.904656267117634,0.0953437328823661,1,0.282608695652174,0.0185185185185185,0.208333333333333,"d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Streptomycetales; f__Streptomycetaceae; g__Streptomyces","0.9989683"
"c61e191315ae5f4f49af6bbd23f161aa",1,0,1,0.329690236697893,0.023,1,0,1,0.108695652173913,0,0.078125,"d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Streptomycetales; f__Streptomycetaceae; g__Streptomyces","0.9965761"
"b15f9b0d303ebd058c05e185e9f23cde",1,0,1,0.665401472239382,0.001,0.848621645245145,0.151378354754855,1,0.521739130434783,0.166666666666667,0.421875,"d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Streptomycetales; f__Streptomycetaceae; g__Streptomyces","0.9990697"
"2f39d7fbb01500f76a1a0aea2889ba8e",1,0,1,0.350982059081517,0.012,1,0,1,0.123188405797101,0,0.0885416666666667,"d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Streptomycetales; f__Streptomycetaceae; g__Streptomyces","0.9990196"
"651ef9dfe2ce8293d0c42f9d1974f6c1",1,0,1,0.399274704752345,0.004,1,0,1,0.159420289855072,0,0.114583333333333,"d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Streptomycetales; f__Streptomycetaceae; g__Streptomyces","0.9192829"
"5bb6ade71f82635a0f1fda13d0fc0edc",1,0,1,0.371054119260641,0.013,1,0,1,0.13768115942029,0,0.0989583333333333,"d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Streptomycetales; f__Streptomycetaceae; g__Streptomyces","0.8523850"
"1b369668704c1170afd18815064c9735",0,1,2,0.34961081609371,0.045,0.174962871574456,0.825037128425544,1,0.0869565217391304,0.148148148148148,0.104166666666667,"d__Bacteria; p__Actinobacteriota; c__Actinobacteria","0.9996545"
"c7ebc9900680772ba2a85f9ed07236ea",1,0,1,0.338387106099374,0.039,0.929517943132628,0.070482056867372,1,0.123188405797101,0.0185185185185185,0.09375,"d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Streptomycetales; f__Streptomycetaceae; g__Streptomyces","0.9949495"
"fa031af8d74374b067eec49718578a91",1,0,1,0.380693493813441,0.009,1,0,1,0.144927536231884,0,0.104166666666667,"d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Streptomycetales; f__Streptomycetaceae; g__Streptomyces","0.7123310"
"db9ee620cbad23cf7b6c5073cf721c4f",1,0,1,0.306924907022426,0.032,1,0,1,0.0942028985507246,0,0.0677083333333333,"d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Streptosporangiales; f__Streptosporangiaceae; g__Sphaerisporangium","0.8717668"
"3bcb7283a817fe948ab7e03ce9b27c1b",1,0,1,0.306924907022426,0.042,1,0,1,0.0942028985507246,0,0.0677083333333333,"d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Streptosporangiales; f__Streptosporangiaceae","0.9701548"
"6b0507279f6bcae12a8b0593fd5c5910",1,0,1,0.350982059081517,0.021,1,0,1,0.123188405797101,0,0.0885416666666667,"d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Streptomycetales; f__Streptomycetaceae; g__Streptomyces","0.7489322"
"4be17c7abf51769cee9aef9209927d9a",1,0,1,0.334340220043596,0.04,0.964131676122153,0.0358683238778474,1,0.115942028985507,0.0185185185185185,0.0885416666666667,"d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Streptosporangiales; f__Thermomonosporaceae; g__Actinocorallia","0.8058183"
"2764e1aa3c4eaa1d29d50e50281ef7f3",0,1,2,0.378532920381367,0.001,0.0328115902659865,0.967188409734014,1,0.0144927536231884,0.148148148148148,0.0520833333333333,"d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Frankiales; f__Frankiaceae; g__Jatrophihabitans","0.9702208"
"d27757cc14e6a8e57d06909757745135",0,1,2,0.424972472375993,0.001,0.0247513477022356,0.975248652297764,1,0.0072463768115942,0.185185185185185,0.0572916666666667,"d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Frankiales; f__Frankiaceae; g__Jatrophihabitans","0.9800184"
"32eca13e2f80650692dcdf9edd221186",1,0,1,0.620762610468292,0.001,0.901318273909261,0.0986817260907391,1,0.427536231884058,0.0740740740740741,0.328125,"d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Frankiales; f__uncultured; g__uncultured; s__uncultured_Sporichthyaceae","0.7690025"
"d7bb5bad3e6c29af7a59a4e8907685f0",1,0,1,0.653862548158294,0.001,1,0,1,0.427536231884058,0,0.307291666666667,"d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Micromonosporales; f__Micromonosporaceae; g__Luedemannella; s__metagenome","0.7104171"
"4dfe9a844de6a871a125a6bbd3e79134",1,0,1,0.422114942856478,0.015,0.819632714920548,0.180367285079452,1,0.217391304347826,0.0185185185185185,0.161458333333333,"d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Micromonosporales; f__Micromonosporaceae; g__Micromonospora","0.9781996"
"78fde54c9328ca2353ded30584233bb5",1,0,1,0.37426442625977,0.038,0.878645126607753,0.121354873392247,1,0.159420289855072,0.0555555555555556,0.130208333333333,"d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Micromonosporales; f__Micromonosporaceae; g__Actinoplanes","0.7262255"
"59fe1140572a58550dbe5ac6bf7f0728",1,0,1,0.466252404120157,0.002,1,0,1,0.217391304347826,0,0.15625,"d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Micromonosporales; f__Micromonosporaceae; g__Micromonospora","0.9255927"
