"ASV","Taxon","Confidence"
"ca081a42b40fe827cef4d27c8971df7e","d__Bacteria; p__Desulfobacterota; c__Desulfobacteria; o__Desulfobacterales; f__Desulfosarcinaceae; g__Sva0081_sediment_group; s__uncultured_prokaryote","0.7167154"
"6cd48bbb106f18fd2f19c5ee441b2744","d__Bacteria; p__Elusimicrobiota","0.8216264"
"cecdf56ffa3b7cffd1948d2af833e4ae","d__Bacteria; p__Actinobacteriota; c__Thermoleophilia; o__Solirubrobacterales; f__67-14; g__67-14","0.9792567"
"a02d6b50c32263fd19a49942022c6953","d__Bacteria; p__Acidobacteriota; c__Blastocatellia; o__11-24; f__11-24; g__11-24","0.9895705"
"ba09060b61f0fe091af778aa71cd3112","d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Nitrosomonadaceae; g__MND1","0.9563083"
"c722a9f5b3b50d8b2f95926b49878a67","d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Nitrosomonadaceae; g__IS-44","0.9939162"
"4a8394fd75ea22258a8f26c9b69c2e5a","d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__A21b; g__A21b; s__uncultured_delta","0.8734291"
"258a64e2c82f4ba018379d54047d12af","d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__SC-I-84; g__SC-I-84","0.9463154"
"cd529155f01d5661b7a60e48917383e5","d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Methylococcales; f__Methylomonadaceae","0.8659323"
"06bc193e73c27ce1704320d79be3c795","d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Nitrosomonadaceae; g__mle1-7; s__uncultured_Rhodocyclaceae","0.9038939"
"a80d84bb07ffa3aa9b681e6e10dc50f7","d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Comamonadaceae","0.9980261"
"203361de35d330e96a1dfcbe11c18f51","d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Comamonadaceae","0.9967121"
"d8be3e61483da57495aed4ab0bd2a617","d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Polynucleobacter","0.9965741"
"b2adbb698e7ebf2f0d2ed494c1733231","d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales","0.9998911"
"1accaff11d2db6a18841f16d8c732114","d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales","0.9999025"
"55c65ef0aae32c43ae585d9b9532960b","d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales","0.9935651"
"5f486297d72f4aa9454d7e4ccbef1fc9","d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Nitrosomonadaceae; g__mle1-7; s__uncultured_Burkholderiales","0.8962196"
"5ff7ab692c5b13f54082f2d9b97eb539","d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Comamonadaceae","0.9642547"
"5baaa470f809aa253681e396daf1980a","d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__uncultured; s__Comamonadaceae_bacterium","0.7914982"
"e90dbe263c72eea730a9771ef58bb894","d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Sutterellaceae; g__uncultured","0.9497594"
"aa541e68e9404b630245a520697ac0e3","d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Comamonadaceae","0.9566497"
"374da2df4363b091586940a51726b2bf","d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Rhodocyclaceae","0.9138785"
"6060396a0b2e2ade1da0c98ae9c40c54","d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales","0.9999480"
"cd22912e87b3da7c2984d27b423731ba","d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Comamonadaceae","0.9913115"
"4ad75dd2fb1a50191a4baee77e348d70","d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Comamonadaceae","0.9917063"
